Family group,Family,N samples,N sublineages,Main sublineages [SIT] (%),Africa,Americas,E.Med.,Europe,S.E.Asia,W.Pacific
S,S,862,8,4.4.1.1 [34] (67.9); 4.4.1.1 [71] (11.6); 4.4.1.1 [1577] (8.4),7.17,2.06,0.33,2.62,0.12,0.32
T,T,242,13,4.1.2 [73] (43.4); 4.4.1.2 [102] (8.7); 4.8 [2025] (7.9),1.52,0.06,0,0.61,0.29,1.02
T,T-H37Rv,45,7,4.9 [451] (33.3); 4.8 [451] (22.2); 4.7 [824] (17.8); 4.1.2.1 [451] (11.1); 4.2.2.2 [451] (11.1),0.15,0,0.65,0.29,0.23,0.02
T,T-tuscany,8,1,4.3.3 [159] (100),0.01,0.06,0,0.02,0,0
T,T1,3749,26,4.8 [53] (31.4); 4.1.2.1 [53] (18.4),7.06,19.52,16.99,17.71,6.72,8.36
T,T1-RUS2,29,1,4.8 [280] (75.9); 4.8 [1173] (24.1),0.03,0,0,0.15,0,0.02
T,T2,432,18,4.6.1.2 [52] (18.8); 4.8 [52] (16.4); 4.4.2 [52] (15.3); 4.1.2.1 [52] (9),1.65,1.34,1.31,1.38,0.75,2.17
T,T2-Uganda,44,1,4.6.1.1 [420] (81.8); 4.6.1.1 [135] (18.2),0.37,0,0.33,0.12,0,0
T,T3,182,15,4.8 [37] (31.9); 4.1.2.1 [37] (15.4); 4.5 [37] (9.9); 4.8 [Orphan] (9.3); 4.2.2.2 [37] (6.6); 4.6.5 [37] (6),0.38,0.22,0.33,0.74,0.87,1.07
T,T3-ETH,89,2,4.2.2.2 [149] (88.8); 4.2.2.2 [Orphan] (9),0.01,0.03,2.29,0.7,0,0
T,T4,52,6,4.8 [40] (76.9); 4.1.2 [40] (7.7); 4.1.2.1 [40] (5.8),0.06,0.06,0,0.32,0,0.07
T,T4-CEU1,384,1,4.1.2 [39] (64.8); 4.1.2 [1258] (35.2),3.36,4.28,0,0.06,0,0
T,T5,303,11,4.8.2 [44] (37.6); 4.4.1.2 [214] (28.7); 4.7 [44] (20.8),0.32,2.78,0,1.49,0.29,0.02
T,T5-Madrid2,30,2,4.7 [58] (76.7); 4.7 [1227] (20),0.01,0.28,0,0.19,0,0
Turkey,Turkey,97,1,4.2.2.1 [41] (61.9); 4.2.2.1 [1261] (38.1),0.04,0,0.33,0.82,0,0
Unknown,Unknown,1174,53,4.4.1.1 [4] (8.5); 4.7 [144] (5.4),4.25,6.68,2.29,4.69,1.51,2.92
Ural,Ural-1,346,6,4.2.1 [262] (48); 4.2.1.1 [35] (44.8),0.06,3.37,1.31,2.31,0.06,0.07
Ural,Ural-2,97,1,4.5 [127] (82.5); 4.5 [656] (11.3); 4.5 [2994] (6.2),0.06,0.12,2.61,0.44,0.06,0.05
X,X1,473,9,4.1.1.3 [119] (63.8); 4.1.1.2 [119] (10.8),1.52,2.62,0.65,1.91,0.06,0.05
X,X2,316,1,4.1.1.1 [137] (74.4); 4.1.1.1 [478] (13.6); 4.1.1.1 [2180] (6.3); 4.1.1.1 [18] (5.7),1.19,2.22,0.33,1.37,0.23,0.02
X,X3,291,2,4.1.1.3 [92] (69.4); 4.1.1 [91] (11.3); 4.1.1.3 [200] (6.2),2.28,1.41,0.33,0.54,0.12,0.07
